edgeID,startNode,endNode
EDEPT01604_EHALL02904,EDEPT01604,EHALL02904
EDEPT01704_EHALL03404,EDEPT01704,EHALL03404
EDEPT01804_EHALL03304,EDEPT01804,EHALL03304
EDEPT01904_EHALL03204,EDEPT01904,EHALL03204
EDEPT02004_EHALL03004,EDEPT02004,EHALL03004
ELABS00104_EHALL00904,ELABS00104,EHALL00904
ELABS00204_EHALL01104,ELABS00204,EHALL01104
ELABS00404_EHALL01704,ELABS00404,EHALL01704
ECONF00104_EHALL00604,ECONF00104,EHALL00604
ECONF00104_EHALL00404,ECONF00104,EHALL00404
ECONF00204_EHALL00104,ECONF00204,EHALL00104
ESERV00104_EHALL00204,ESERV00104,EHALL00204
ESERV00204_EHALL00104,ESERV00204,EHALL00104
ESERV00304_EHALL01204,ESERV00304,EHALL01204
ESERV00404_EHALL01504,ESERV00404,EHALL01504
ESERV00504_EHALL01304,ESERV00504,EHALL01304
ESERV00604_EHALL01304,ESERV00604,EHALL01304
ESERV00704_EHALL01404,ESERV00704,EHALL01404
ESERV00804_EHALL01504,ESERV00804,EHALL01504
ESERV00904_EHALL01704,ESERV00904,EHALL01704
ESERV01004_EHALL02004,ESERV01004,EHALL02004
ESERV01104_EHALL02104,ESERV01104,EHALL02104
ESERV01204_EHALL02504,ESERV01204,EHALL02504
EHALL00104_EHALL00204,EHALL00104,EHALL00204
EHALL00104_EHALL01804,EHALL00104,EHALL01804
EHALL00404_EHALL00504,EHALL00404,EHALL00504
EHALL00504_EHALL00604,EHALL00504,EHALL00604
EHALL00604_EHALL00704,EHALL00604,EHALL00704
EHALL00804_EHALL01804,EHALL00804,EHALL01804
EHALL00804_EHALL00904,EHALL00804,EHALL00904
EHALL00904_EHALL01004,EHALL00904,EHALL01004
EHALL01004_EHALL01104,EHALL01004,EHALL01104
EHALL01204_EHALL01304,EHALL01204,EHALL01304
EHALL01304_EHALL01404,EHALL01304,EHALL01404
EHALL01404_EHALL01504,EHALL01404,EHALL01504
EHALL01504_EHALL01604,EHALL01504,EHALL01604
EHALL01604_EHALL01704,EHALL01604,EHALL01704
EHALL01804_EHALL01904,EHALL01804,EHALL01904
EHALL02004_EHALL02104,EHALL02004,EHALL02104
EHALL02104_EHALL02204,EHALL02104,EHALL02204
EHALL02204_EHALL02304,EHALL02204,EHALL02304
EHALL02304_EHALL02404,EHALL02304,EHALL02404
EHALL02404_EHALL02504,EHALL02404,EHALL02504
EHALL02504_EHALL02704,EHALL02504,EHALL02704
EHALL02604_EHALL02704,EHALL02604,EHALL02704
EHALL02704_EHALL02804,EHALL02704,EHALL02804
EHALL02704_EHALL03504,EHALL02704,EHALL03504
EHALL02804_EHALL02904,EHALL02804,EHALL02904
EHALL02904_EHALL03004,EHALL02904,EHALL03004
EHALL03004_EHALL03104,EHALL03004,EHALL03104
EHALL03104_EHALL03204,EHALL03104,EHALL03204
EHALL03204_EHALL03304,EHALL03204,EHALL03304
EHALL03304_EHALL03404,EHALL03304,EHALL03404
EHALL03404_EHALL03504,EHALL03404,EHALL03504
OSTAI00105_ODEPT00205,OSTAI00105,ODEPT00205
OSTAI00205_OHALL00105,OSTAI00205,OHALL00105
OSTAI00305_ODEPT00405,OSTAI00305,ODEPT00405
OSTAI00405_OHALL00505,OSTAI00405,OHALL00505
OSTAI00505_OHALL01905,OSTAI00505,OHALL01905
OSTAI00605_ODEPT00405,OSTAI00605,ODEPT00405
OELEV00X05_OHALL01905,OELEV00X05,OHALL01905
OELEV00Y05_OHALL00405,OELEV00Y05,OHALL00405
OELEV00Z05_OHALL00405,OELEV00Z05,OHALL00405
OREST00105_OHALL00405,OREST00105,OHALL00405
OREST00205_OHALL02005,OREST00205,OHALL02005
OREST00305_OHALL02005,OREST00305,OHALL02005
ODEPT00105_OHALL00105,ODEPT00105,OHALL00105
ODEPT00105_ODEPT00205,ODEPT00105,ODEPT00205
OLABS00105_OHALL00105,OLABS00105,OHALL00105
ODEPT00305_OHALL00205,ODEPT00305,OHALL00205
OSERV00105_OHALL00205,OSERV00105,OHALL00205
ODEPT00405_OHALL00305,ODEPT00405,OHALL00305
ODEPT00505_OHALL00505,ODEPT00505,OHALL00505
OLABS00205_OHALL00605,OLABS00205,OHALL00605
ODEPT00605_OHALL00705,ODEPT00605,OHALL00705
ODEPT00705_OHALL00905,ODEPT00705,OHALL00905
ODEPT00805_OHALL01105,ODEPT00805,OHALL01105
ODEPT00905_OHALL00805,ODEPT00905,OHALL00805
ODEPT01005_OHALL00905,ODEPT01005,OHALL00905
OCONF00105_OHALL01005,OCONF00105,OHALL01005
OCONF00205_OHALL01005,OCONF00205,OHALL01005
